ticker,volume,open,close,high,low,window_start,transactions
O:ACHR250321C00005000,6,4.6,4.4,4.6,4.4,1739250000000000000,2
O:ACHR250321C00006000,82,3.55,3.65,4.05,3.35,1739250000000000000,10
O:ACHR250321C00007000,16,2.7,2.69,3.2,2.66,1739250000000000000,12
O:ACHR250321C00008000,2285,2.24,2.08,2.54,1.98,1739250000000000000,236
O:ACHR250321C00009000,304,1.8,1.58,1.91,1.36,1739250000000000000,80
O:ACHR250321C00010000,7693,1.15,1.2,1.5,0.8,1739250000000000000,664
O:ACHR250321C00011000,869,0.9,0.9,1.15,0.71,1739250000000000000,136
O:ACHR250321C00012000,1107,0.66,0.68,0.89,0.5,1739250000000000000,172
O:ACHR250321C00013000,936,0.48,0.55,0.71,0.39,1739250000000000000,66
O:ACHR250321C00014000,312,0.17,0.45,0.55,0.17,1739250000000000000,33
O:ACHR250321C00015000,282,0.29,0.35,0.45,0.19,1739250000000000000,32
O:ACHR250321C00016000,1101,0.24,0.3,0.35,0.18,1739250000000000000,56
O:ACHR250321C00020000,7,0.09,0.17,0.17,0.09,1739250000000000000,3
O:ACHR250321P00006000,4,0.13,0.15,0.16,0.12,1739250000000000000,4
O:ACHR250321P00007000,448,0.35,0.36,0.37,0.27,1739250000000000000,43
O:ACHR250321P00008000,1275,0.51,0.73,0.74,0.44,1739250000000000000,252
O:ACHR250321P00009000,1309,0.92,1.25,1.25,0.92,1739250000000000000,120
O:ACHR250321P00010000,366,1.25,1.87,1.87,1.25,1739250000000000000,103
O:ACHR250321P00011000,199,2.09,2.52,2.52,2.06,1739250000000000000,21
O:ACHR250321P00012000,13,3.16,3.28,3.35,3.16,1739250000000000000,4
O:ACHR250328C00005000,3,5.3,4.75,5.3,4.75,1739250000000000000,2
O:ACHR250328C00006000,8,3.71,3.8,3.85,3.71,1739250000000000000,5
O:ACHR250328C00006500,8,3.34,3.2,3.34,3.2,1739250000000000000,3
O:ACHR250328C00007000,11,3.15,3.18,3.18,3.15,1739250000000000000,2
O:ACHR250328C00008000,34,2.29,2.19,2.29,1.97,1739250000000000000,8
O:ACHR250328C00008500,29,1.99,2.01,2.3,1.98,1739250000000000000,11
